--2020-07-24 04:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
 72100K .......... .......... .......... .......... .......... 70%  129M 1s
 72150K .......... .......... .......... .......... .......... 70% 61.4M 1s
 72200K .......... .......... .......... .......... .......... 70% 38.4M 1s
 72250K .......... .......... .......... .......... .......... 70% 48.7M 1s
 72300K .......... .......... .......... .......... .......... 70% 49.7M 1s
 72350K .......... .......... .......... .......... .......... 70%  107M 1s
 72400K .......... .......... .......... .......... .......... 70% 47.4M 1s
 72450K .......... .......... .......... .......... .......... 70% 49.0M 1s
 72500K .......... .......... .......... .......... .......... 70% 64.0M 1s
 72550K .......... .......... .......... .......... .......... 70% 73.9M 1s
 72600K .......... .......... .......... .......... .......... 70% 59.7M 1s
 72650K .......... .......... .......... .......... .......... 70% 46.4M 1s
 72700K .......... .......... .......... .......... .......... 71% 53.3M 1s
 72750K .......... .......... .......... .......... .......... 71% 60.0M 1s
 72800K .......... .......... .......... .......... .......... 71%  110M 1s
 72850K .......... .......... .......... .......... .......... 71% 40.4M 1s
 72900K .......... .......... .......... .......... .......... 71% 50.3M 1s
 72950K .......... .......... .......... .......... .......... 71% 37.6M 1s
 73000K .......... .......... .......... .......... .......... 71% 56.3M 1s
 73050K .......... .......... .......... .......... .......... 71%  139M 1s
 73100K .......... .......... .......... .......... .......... 71% 43.8M 1s
 73150K .......... .......... .......... .......... .......... 71% 9.95M 1s
 73200K .......... .......... .......... .......... .......... 71% 66.3M 1s
 73250K .......... .......... .......... .......... .......... 71% 97.8M 1s
 73300K .......... .......... .......... .......... .......... 71%  115M 1s
 73350K .......... .......... .......... .......... .......... 71%  120M 1s
 73400K .......... .......... .......... .......... .......... 71%  122M 1s
 73450K .......... .......... .......... .......... .......... 71%  110M 1s
 73500K .......... .......... .......... .......... .......... 71%  101M 1s
 73550K .......... .......... .......... .......... .......... 71% 40.0M 1s
 73600K .......... .......... .......... .......... .......... 71%  528M 1s
 73650K .......... .......... .......... .......... .......... 71% 65.7M 1s
 73700K .......... .......... .......... .......... .......... 72% 73.3M 1s
 73750K .......... .......... .......... .......... .......... 72% 39.4M 1s
 73800K .......... .......... .......... .......... .......... 72%  446M 1s
 73850K .......... .......... .......... .......... .......... 72% 70.2M 1s
 73900K .......... .......... .......... .......... .......... 72% 41.2M 1s
 73950K .......... .......... .......... .......... .......... 72% 49.7M 1s
 74000K .......... .......... .......... .......... .......... 72% 49.4M 1s
 74050K .......... .......... .......... .......... .......... 72%  112M 1s
 74100K .......... .......... .......... .......... .......... 72% 41.4M 1s
 74150K .......... .......... .......... .......... .......... 72% 38.8M 1s
 74200K .......... .......... .......... .......... .......... 72% 41.4M 1s
 74250K .......... .......... .......... .......... .......... 72% 71.3M 1s
 74300K .......... .......... .......... .......... .......... 72% 68.9M 1s
 74350K .......... .......... .......... .......... .......... 72% 51.3M 1s
 74400K .......... .......... .......... .......... .......... 72% 77.8M 1s
 74450K .......... .......... .......... .......... .......... 72% 56.4M 1s
 74500K .......... .......... .......... .......... .......... 72% 67.0M 1s
 74550K .......... .......... .......... .......... .......... 72% 52.8M 1s
 74600K .......... .......... .......... .......... .......... 72% 8.50M 1s
 74650K .......... .......... .......... .......... .......... 72% 48.8M 1s
 74700K .......... .......... .......... .......... .......... 72%  124M 1s
 74750K .......... .......... .......... .......... .......... 73% 42.3M 1s
 74800K .......... .......... .......... .......... .......... 73% 47.2M 1s
 74850K .......... .......... .......... .......... .......... 73%  116M 1s
 74900K .......... .......... .......... .......... .......... 73%  108M 1s
 74950K .......... .......... .......... .......... .......... 73%  108M 1s
 75000K .......... .......... .......... .......... .......... 73% 73.4M 1s
 75050K .......... .......... .......... .......... .......... 73% 57.5M 1s
 75100K .......... .......... .......... .......... .......... 73% 60.4M 1s
 75150K .......... .......... .......... .......... .......... 73% 45.9M 1s
 75200K .......... .......... .......... .......... .......... 73%  108M 1s
 75250K .......... .......... .......... .......... .......... 73% 40.4M 1s
 75300K .......... .......... .......... .......... .......... 73% 49.2M 1s
 75350K .......... .......... .......... .......... .......... 73% 49.4M 1s
 75400K .......... .......... .......... .......... .......... 73%  110M 1s
 75450K .......... .......... .......... .......... .......... 73% 47.1M 1s
 75500K .......... .......... .......... .......... .......... 73% 43.8M 1s
 75550K .......... .......... .......... .......... .......... 73% 47.3M 1s
 75600K .......... .......... .......... .......... .......... 73% 50.5M 1s
 75650K .......... .......... .......... .......... .......... 73%  121M 1s
 75700K .......... .......... .......... .......... .......... 73% 47.1M 1s
 75750K .......... .......... .......... .......... .......... 74% 47.9M 1s
 75800K .......... .......... .......... .......... .......... 74% 53.0M 1s
 75850K .......... .......... .......... .......... .......... 74% 44.0M 1s
 75900K .......... .......... .......... .......... .......... 74%  135M 1s
 75950K .......... .......... .......... .......... .......... 74% 59.6M 1s
 76000K .......... .......... .......... .......... .......... 74% 8.60M 1s
 76050K .......... .......... .......... .......... .......... 74% 36.7M 1s
 76100K .......... .......... .......... .......... .......... 74%  307M 1s
 76150K .......... .......... .......... .......... .......... 74%  122M 1s
 76200K .......... .......... .......... .......... .......... 74%  103M 1s
 76250K .......... .......... .......... .......... .......... 74%  103M 1s
 76300K .......... .......... .......... .......... .......... 74%  111M 1s
 76350K .......... .......... .......... .......... .......... 74% 43.6M 1s
 76400K .......... .......... .......... .......... .......... 74% 91.6M 1s
 76450K .......... .......... .......... .......... .......... 74% 40.6M 1s
 76500K .......... .......... .......... .......... .......... 74% 50.4M 1s
 76550K .......... .......... .......... .......... .......... 74%  456M 1s
 76600K .......... .......... .......... .......... .......... 74% 92.4M 1s
 76650K .......... .......... .......... .......... .......... 74% 61.0M 1s
 76700K .......... .......... .......... .......... .......... 74% 55.0M 1s
 76750K .......... .......... .......... .......... .......... 75% 36.5M 1s
 76800K .......... .......... .......... .......... .......... 75%  102M 1s
 76850K .......... .......... .......... .......... .......... 75% 49.0M 1s
 76900K .......... .......... .......... .......... .......... 75% 64.5M 1s
 76950K .......... .......... .......... .......... .......... 75% 48.1M 1s
 77000K .......... .......... .......... .......... .......... 75%  116M 1s
 77050K .......... .......... .......... .......... .......... 75% 40.7M 1s
 77100K .......... .......... .......... .......... .......... 75% 45.5M 1s
 77150K .......... .......... .......... .......... .......... 75% 47.9M 1s
 77200K .......... .......... .......... .......... .......... 75% 50.0M 1s
 77250K .......... .......... .......... .......... .......... 75%  112M 1s
 77300K .......... .......... .......... .......... .......... 75% 48.4M 1s
 77350K .......... .......... .......... .......... .......... 75% 47.7M 1s
 77400K .......... .......... .......... .......... .......... 75% 50.1M 1s
 77450K .......... .......... .......... .......... .......... 75% 9.58M 1s
 77500K .......... .......... .......... .......... .......... 75% 52.1M 1s
 77550K .......... .......... .......... .......... .......... 75% 50.1M 1s
 77600K .......... .......... .......... .......... .......... 75% 53.1M 1s
 77650K .......... .......... .......... .......... .......... 75% 68.2M 1s
 77700K .......... .......... .......... .......... .......... 75%  119M 1s
 77750K .......... .......... .......... .......... .......... 75% 36.3M 1s
 77800K .......... .......... .......... .......... .......... 76%  207M 1s
 77850K .......... .......... .......... .......... .......... 76%  233M 1s
 77900K .......... .......... .......... .......... .......... 76%  106M 1s
 77950K .......... .......... .......... .......... .......... 76% 55.6M 1s
 78000K .......... .......... .......... .......... .......... 76% 67.4M 1s
 78050K .......... .......... .......... .......... .......... 76% 34.2M 1s
 78100K .......... .......... .......... .......... .......... 76%  130M 1s
 78150K .......... .......... .......... .......... .......... 76% 47.3M 1s
 78200K .......... .......... .......... .......... .......... 76% 49.3M 1s
 78250K .......... .......... .......... .......... .......... 76% 45.1M 1s
 78300K .......... .......... .......... .......... .......... 76%  103M 1s
 78350K .......... .......... .......... .......... .......... 76% 45.9M 1s
 78400K .......... .......... .......... .......... .......... 76% 49.9M 1s
 78450K .......... .......... .......... .......... .......... 76% 47.4M 1s
 78500K .......... .......... .......... .......... .......... 76% 52.4M 1s
 78550K .......... .......... .......... .......... .......... 76% 75.3M 1s
 78600K .......... .......... .......... .......... .......... 76% 57.6M 1s
 78650K .......... .......... .......... .......... .......... 76% 57.6M 1s
 78700K .......... .......... .......... .......... .......... 76% 50.4M 1s
 78750K .......... .......... .......... .......... .......... 76% 55.7M 1s
 78800K .......... .......... .......... .......... .......... 77%  105M 1s
 78850K .......... .......... .......... .......... .......... 77% 52.3M 1s
 78900K .......... .......... .......... .......... .......... 77% 46.6M 1s
 78950K .......... .......... .......... .......... .......... 77% 9.24M 1s
 79000K .......... .......... .......... .......... .......... 77%  113M 1s
 79050K .......... .......... .......... .......... .......... 77%  109M 1s
 79100K .......... .......... .......... .......... .......... 77% 50.3M 1s
 79150K .......... .......... .......... .......... .......... 77%  115M 1s
 79200K .......... .......... .......... .......... .......... 77% 80.3M 1s
 79250K .......... .......... .......... .......... .......... 77%  109M 1s
 79300K .......... .......... .......... .......... .......... 77%  115M 1s
 79350K .......... .......... .......... .......... .......... 77%  116M 1s
 79400K .......... .......... .......... .......... .......... 77%  110M 1s
 79450K .......... .......... .......... .......... .......... 77% 66.6M 1s
 79500K .......... .......... .......... .......... .......... 77% 38.6M 1s
 79550K .......... .......... .......... .......... .......... 77%  145M 1s
 79600K .......... .......... .......... .......... .......... 77% 74.4M 1s
 79650K .......... .......... .......... .......... .......... 77% 87.0M 1s
 79700K .......... .......... .......... .......... .......... 77% 44.8M 1s
 79750K .......... .......... .......... .......... .......... 77%  169M 1s
 79800K .......... .......... .......... .......... .......... 77% 39.4M 1s
 79850K .......... .......... .......... .......... .......... 78% 44.6M 1s
 79900K .......... .......... .......... .......... .......... 78% 38.9M 1s
 79950K .......... .......... .......... .......... .......... 78% 48.7M 1s
 80000K .......... .......... .......... .......... .......... 78%  121M 1s
 80050K .......... .......... .......... .......... .......... 78% 46.0M 1s
 80100K .......... .......... .......... .......... .......... 78% 52.8M 1s
 80150K .......... .......... .......... .......... .......... 78% 50.2M 1s
 80200K .......... .......... .......... .......... .......... 78% 47.4M 1s
 80250K .......... .......... .......... .......... .......... 78%  117M 1s
 80300K .......... .......... .......... .......... .......... 78% 48.8M 1s
 80350K .......... .......... .......... .......... .......... 78% 7.19M 1s
 80400K .......... .......... .......... .......... .......... 78% 46.6M 1s
 80450K .......... .......... .......... .......... .......... 78%  124M 1s
 80500K .......... .......... .......... .......... .......... 78% 47.1M 1s
 80550K .......... .......... .......... .......... .......... 78% 48.7M 1s
 80600K .......... .......... .......... .......... .......... 78%  103M 1s
 80650K .......... .......... .......... .......... .......... 78%  102M 1s
 80700K .......... .......... .......... .......... .......... 78% 77.2M 1s
 80750K .......... .......... .......... .......... .......... 78% 87.0M 1s
 80800K .......... .......... .......... .......... .......... 78% 57.5M 1s
 80850K .......... .......... .......... .......... .......... 79% 38.3M 1s
 80900K .......... .......... .......... .......... .......... 79%  668M 1s
 80950K .......... .......... .......... .......... .......... 79% 43.8M 1s
 81000K .......... .......... .......... .......... .......... 79% 49.3M 1s
 81050K .......... .......... .......... .......... .......... 79% 50.4M 1s
 81100K .......... .......... .......... .......... .......... 79% 46.0M 1s
 81150K .......... .......... .......... .......... .......... 79% 90.3M 1s
 81200K .......... .......... .......... .......... .......... 79% 49.1M 1s
 81250K .......... .......... .......... .......... .......... 79% 48.9M 1s
 81300K .......... .......... .......... .......... .......... 79% 50.0M 1s
 81350K .......... .......... .......... .......... .......... 79% 97.7M 1s
 81400K .......... .......... .......... .......... .......... 79% 52.8M 1s
 81450K .......... .......... .......... .......... .......... 79% 49.5M 1s
 81500K .......... .......... .......... .......... .......... 79% 45.3M 1s
 81550K .......... .......... .......... .......... .......... 79% 52.6M 1s
 81600K .......... .......... .......... .......... .......... 79% 81.2M 1s
 81650K .......... .......... .......... .......... .......... 79% 37.8M 1s
 81700K .......... .......... .......... .......... .......... 79% 52.2M 1s
 81750K .......... .......... .......... .......... .......... 79% 61.4M 1s
 81800K .......... .......... .......... .......... .......... 79% 53.3M 1s
 81850K .......... .......... .......... .......... .......... 79% 12.4M 1s
 81900K .......... .......... .......... .......... .......... 80% 52.2M 1s
 81950K .......... .......... .......... .......... .......... 80% 43.0M 1s
 82000K .......... .......... .......... .......... .......... 80%  110M 1s
 82050K .......... .......... .......... .......... .......... 80%  109M 1s
 82100K .......... .......... .......... .......... .......... 80% 76.1M 1s
 82150K .......... .......... .......... .......... .......... 80%  120M 1s
 82200K .......... .......... .......... .......... .......... 80% 76.4M 1s
 82250K .......... .......... .......... .......... .......... 80%  111M 1s
 82300K .......... .......... .......... .......... .......... 80% 51.3M 1s
 82350K .......... .......... .......... .......... .......... 80% 75.2M 1s
 82400K .......... .......... .......... .......... .......... 80% 42.6M 1s
 82450K .......... .......... .......... .......... .......... 80% 81.6M 1s
 82500K .......... .......... .......... .......... .......... 80%  122M 1s
 82550K .......... .......... .......... .......... .......... 80% 41.6M 1s
 82600K .......... .......... .......... .......... .......... 80% 50.5M 1s
 82650K .......... .......... .......... .......... .......... 80% 39.9M 1s
 82700K .......... .......... .......... .......... .......... 80% 57.7M 1s
 82750K .......... .......... .......... .......... .......... 80%  108M 1s
 82800K .......... .......... .......... .......... .......... 80% 46.9M 1s
 82850K .......... .......... .......... .......... .......... 80% 49.9M 1s
 82900K .......... .......... .......... .......... .......... 81% 51.4M 1s
 82950K .......... .......... .......... .......... .......... 81%  115M 1s
 83000K .......... .......... .......... .......... .......... 81% 45.8M 1s
 83050K .......... .......... .......... .......... .......... 81% 52.7M 1s
 83100K .......... .......... .......... .......... .......... 81% 50.0M 1s
 83150K .......... .......... .......... .......... .......... 81% 42.0M 1s
 83200K .......... .......... .......... .......... .......... 81%  116M 1s
 83250K .......... .......... .......... .......... .......... 81% 8.33M 1s
 83300K .......... .......... .......... .......... .......... 81% 38.7M 1s
 83350K .......... .......... .......... .......... .......... 81% 34.5M 1s
 83400K .......... .......... .......... .......... .......... 81%  296M 1s
 83450K .......... .......... .......... .......... .......... 81% 43.3M 1s
 83500K .......... .......... .......... .......... .......... 81% 48.2M 1s
 83550K .......... .......... .......... .......... .......... 81%  123M 1s
 83600K .......... .......... .......... .......... .......... 81%  109M 1s
 83650K .......... .......... .......... .......... .......... 81%  108M 1s
 83700K .......... .......... .......... .......... .......... 81%  111M 1s
 83750K .......... .......... .......... .......... .......... 81% 43.7M 1s
 83800K .......... .......... .......... .......... .......... 81% 78.0M 1s
 83850K .......... .......... .......... .......... .......... 81% 75.3M 1s
 83900K .......... .......... .......... .......... .......... 81% 50.4M 1s
 83950K .......... .......... .......... .......... .......... 82% 41.7M 1s
 84000K .......... .......... .......... .......... .......... 82% 41.0M 1s
 84050K .......... .......... .......... .......... .......... 82% 50.3M 1s
 84100K .......... .......... .......... .......... .......... 82% 95.1M 1s
 84150K .......... .......... .......... .......... .......... 82% 49.6M 1s
 84200K .......... .......... .......... .......... .......... 82% 48.4M 1s
 84250K .......... .......... .......... .......... .......... 82% 49.0M 1s
 84300K .......... .......... .......... .......... .......... 82% 50.8M 1s
 84350K .......... .......... .......... .......... .......... 82% 87.1M 1s
 84400K .......... .......... .......... .......... .......... 82% 57.2M 1s
 84450K .......... .......... .......... .......... .......... 82% 46.3M 1s
 84500K .......... .......... .......... .......... .......... 82% 47.1M 1s
 84550K .......... .......... .......... .......... .......... 82%  123M 1s
 84600K .......... .......... .......... .......... .......... 82% 38.7M 1s
 84650K .......... .......... .......... .......... .......... 82% 10.9M 1s
 84700K .......... .......... .......... .......... .......... 82% 51.5M 1s
 84750K .......... .......... .......... .......... .......... 82% 79.2M 1s
 84800K .......... .......... .......... .......... .......... 82%  125M 1s
 84850K .......... .......... .......... .......... .......... 82%  113M 1s
 84900K .......... .......... .......... .......... .......... 82% 80.8M 1s
 84950K .......... .......... .......... .......... .......... 83% 61.5M 1s
 85000K .......... .......... .......... .......... .......... 83%  127M 1s
 85050K .......... .......... .......... .......... .......... 83% 56.9M 1s
 85100K .......... .......... .......... .......... .......... 83% 27.6M 1s
 85150K .......... .......... .......... .......... .......... 83%  203M 1s
 85200K .......... .......... .......... .......... .......... 83% 94.3M 1s
 85250K .......... .......... .......... .......... .......... 83%  106M 1s
 85300K .......... .......... .......... .......... .......... 83% 63.9M 1s
 85350K .......... .......... .......... .......... .......... 83% 58.0M 1s
 85400K .......... .......... .......... .......... .......... 83% 31.3M 1s
 85450K .......... .......... .......... .......... .......... 83% 42.9M 1s
 85500K .......... .......... .......... .......... .......... 83%  109M 1s
 85550K .......... .......... .......... .......... .......... 83% 48.2M 1s
 85600K .......... .......... .......... .......... .......... 83% 56.9M 1s
 85650K .......... .......... .......... .......... .......... 83% 78.8M 1s
 85700K .......... .......... .......... .......... .......... 83% 63.0M 1s
 85750K .......... .......... .......... .......... .......... 83% 66.5M 0s
 85800K .......... .......... .......... .......... .......... 83% 54.7M 0s
 85850K .......... .......... .......... .......... .......... 83% 49.8M 0s
 85900K .......... .......... .......... .......... .......... 83% 38.3M 0s
 85950K .......... .......... .......... .......... .......... 83%  127M 0s
 86000K .......... .......... .......... .......... .......... 84% 51.1M 0s
 86050K .......... .......... .......... .......... .......... 84% 8.24M 0s
 86100K .......... .......... .......... .......... .......... 84% 52.9M 0s
 86150K .......... .......... .......... .......... .......... 84% 84.0M 0s
 86200K .......... .......... .......... .......... .......... 84% 28.7M 0s
 86250K .......... .......... .......... .......... .......... 84%  119M 0s
 86300K .......... .......... .......... .......... .......... 84% 47.2M 0s
 86350K .......... .......... .......... .......... .......... 84% 91.1M 0s
 86400K .......... .......... .......... .......... .......... 84%  127M 0s
 86450K .......... .......... .......... .......... .......... 84%  115M 0s
 86500K .......... .......... .......... .......... .......... 84%  108M 0s
 86550K .......... .......... .......... .......... .......... 84% 50.1M 0s
 86600K .......... .......... .......... .......... .......... 84% 58.8M 0s
 86650K .......... .......... .......... .......... .......... 84% 50.3M 0s
 86700K .......... .......... .......... .......... .......... 84% 37.1M 0s
 86750K .......... .......... .......... .......... .......... 84% 75.7M 0s
 86800K .......... .......... .......... .......... .......... 84% 88.1M 0s
 86850K .......... .......... .......... .......... .......... 84% 45.5M 0s
 86900K .......... .......... .......... .......... .......... 84% 50.2M 0s
 86950K .......... .......... .......... .......... .......... 84%  113M 0s
 87000K .......... .......... .......... .......... .......... 85% 49.2M 0s
 87050K .......... .......... .......... .......... .......... 85% 44.6M 0s
 87100K .......... .......... .......... .......... .......... 85% 39.3M 0s
 87150K .......... .......... .......... .......... .......... 85% 50.2M 0s
 87200K .......... .......... .......... .......... .......... 85%  109M 0s
 87250K .......... .......... .......... .......... .......... 85% 49.2M 0s
 87300K .......... .......... .......... .......... .......... 85% 49.6M 0s
 87350K .......... .......... .......... .......... .......... 85% 36.0M 0s
 87400K .......... .......... .......... .......... .......... 85% 51.3M 0s
 87450K .......... .......... .......... .......... .......... 85% 98.3M 0s
 87500K .......... .......... .......... .......... .......... 85% 12.6M 0s
 87550K .......... .......... .......... .......... .......... 85% 55.8M 0s
 87600K .......... .......... .......... .......... .......... 85% 45.9M 0s
 87650K .......... .......... .......... .......... .......... 85%  105M 0s
 87700K .......... .......... .......... .......... .......... 85% 77.4M 0s
 87750K .......... .......... .......... .......... .......... 85%  102M 0s
 87800K .......... .......... .......... .......... .......... 85% 97.4M 0s
 87850K .......... .......... .......... .......... .......... 85%  115M 0s
 87900K .......... .......... .......... .......... .......... 85% 82.6M 0s
 87950K .......... .......... .......... .......... .......... 85% 61.6M 0s
 88000K .......... .......... .......... .......... .......... 85%  114M 0s
 88050K .......... .......... .......... .......... .......... 86% 55.4M 0s
 88100K .......... .......... .......... .......... .......... 86% 58.0M 0s
 88150K .......... .......... .......... .......... .......... 86% 37.3M 0s
 88200K .......... .......... .......... .......... .......... 86%  385M 0s
 88250K .......... .......... .......... .......... .......... 86% 46.9M 0s
 88300K .......... .......... .......... .......... .......... 86% 42.6M 0s
 88350K .......... .......... .......... .......... .......... 86% 49.0M 0s
 88400K .......... .......... .......... .......... .......... 86% 46.8M 0s
 88450K .......... .......... .......... .......... .......... 86% 49.5M 0s
 88500K .......... .......... .......... .......... .......... 86%  109M 0s
 88550K .......... .......... .......... .......... .......... 86% 48.2M 0s
 88600K .......... .......... .......... .......... .......... 86% 48.2M 0s
 88650K .......... .......... .......... .......... .......... 86% 44.6M 0s
 88700K .......... .......... .......... .......... .......... 86%  119M 0s
 88750K .......... .......... .......... .......... .......... 86% 45.4M 0s
 88800K .......... .......... .......... .......... .......... 86% 53.7M 0s
 88850K .......... .......... .......... .......... .......... 86% 44.0M 0s
 88900K .......... .......... .......... .......... .......... 86%  130M 0s
 88950K .......... .......... .......... .......... .......... 86% 7.68M 0s
 89000K .......... .......... .......... .......... .......... 86% 56.4M 0s
 89050K .......... .......... .......... .......... .......... 87% 52.9M 0s
 89100K .......... .......... .......... .......... .......... 87%  115M 0s
 89150K .......... .......... .......... .......... .......... 87%  112M 0s
 89200K .......... .......... .......... .......... .......... 87% 69.9M 0s
 89250K .......... .......... .......... .......... .......... 87% 42.3M 0s
 89300K .......... .......... .......... .......... .......... 87% 56.0M 0s
 89350K .......... .......... .......... .......... .......... 87%  580M 0s
 89400K .......... .......... .......... .......... .......... 87% 45.7M 0s
 89450K .......... .......... .......... .......... .......... 87% 48.8M 0s
 89500K .......... .......... .......... .......... .......... 87% 46.0M 0s
 89550K .......... .......... .......... .......... .......... 87% 48.6M 0s
 89600K .......... .......... .......... .......... .......... 87%  104M 0s
 89650K .......... .......... .......... .......... .......... 87% 39.4M 0s
 89700K .......... .......... .......... .......... .......... 87% 46.5M 0s
 89750K .......... .......... .......... .......... .......... 87% 51.1M 0s
 89800K .......... .......... .......... .......... .......... 87%  111M 0s
 89850K .......... .......... .......... .......... .......... 87% 49.0M 0s
 89900K .......... .......... .......... .......... .......... 87% 47.8M 0s
 89950K .......... .......... .......... .......... .......... 87% 30.2M 0s
 90000K .......... .......... .......... .......... .......... 87% 64.2M 0s
 90050K .......... .......... .......... .......... .......... 87%  359M 0s
 90100K .......... .......... .......... .......... .......... 88% 45.8M 0s
 90150K .......... .......... .......... .......... .......... 88% 41.4M 0s
 90200K .......... .......... .......... .......... .......... 88% 48.7M 0s
 90250K .......... .......... .......... .......... .......... 88% 57.8M 0s
 90300K .......... .......... .......... .......... .......... 88% 83.4M 0s
 90350K .......... .......... .......... .......... .......... 88% 12.1M 0s
 90400K .......... .......... .......... .......... .......... 88% 52.0M 0s
 90450K .......... .......... .......... .......... .......... 88%  104M 0s
 90500K .......... .......... .......... .......... .......... 88% 76.6M 0s
 90550K .......... .......... .......... .......... .......... 88%  172M 0s
 90600K .......... .......... .......... .......... .......... 88%  114M 0s
 90650K .......... .......... .......... .......... .......... 88% 37.9M 0s
 90700K .......... .......... .......... .......... .......... 88%  418M 0s
 90750K .......... .......... .......... .......... .......... 88% 63.3M 0s
 90800K .......... .......... .......... .......... .......... 88% 68.1M 0s
 90850K .......... .......... .......... .......... .......... 88% 51.5M 0s
 90900K .......... .......... .......... .......... .......... 88% 42.6M 0s
 90950K .......... .......... .......... .......... .......... 88%  347M 0s
 91000K .......... .......... .......... .......... .......... 88% 68.6M 0s
 91050K .......... .......... .......... .......... .......... 88% 50.0M 0s
 91100K .......... .......... .......... .......... .......... 89% 38.5M 0s
 91150K .......... .......... .......... .......... .......... 89% 55.7M 0s
 91200K .......... .......... .......... .......... .......... 89%  115M 0s
 91250K .......... .......... .......... .......... .......... 89% 45.8M 0s
 91300K .......... .......... .......... .......... .......... 89% 49.5M 0s
 91350K .......... .......... .......... .......... .......... 89% 46.3M 0s
 91400K .......... .......... .......... .......... .......... 89%  100M 0s
 91450K .......... .......... .......... .......... .......... 89% 53.6M 0s
 91500K .......... .......... .......... .......... .......... 89% 45.3M 0s
 91550K .......... .......... .......... .......... .......... 89% 46.3M 0s
 91600K .......... .......... .......... .......... .......... 89% 49.2M 0s
 91650K .......... .......... .......... .......... .......... 89% 93.3M 0s
 91700K .......... .......... .......... .......... .......... 89% 26.5M 0s
 91750K .......... .......... .......... .......... .......... 89% 10.6M 0s
 91800K .......... .......... .......... .......... .......... 89% 39.0M 0s
 91850K .......... .......... .......... .......... .......... 89%  105M 0s
 91900K .......... .......... .......... .......... .......... 89% 52.4M 0s
 91950K .......... .......... .......... .......... .......... 89% 47.6M 0s
 92000K .......... .......... .......... .......... .......... 89%  119M 0s
 92050K .......... .......... .......... .......... .......... 89%  102M 0s
 92100K .......... .......... .......... .......... .......... 89%  103M 0s
 92150K .......... .......... .......... .......... .......... 90% 59.7M 0s
 92200K .......... .......... .......... .......... .......... 90% 56.3M 0s
 92250K .......... .......... .......... .......... .......... 90% 44.5M 0s
 92300K .......... .......... .......... .......... .......... 90% 48.5M 0s
 92350K .......... .......... .......... .......... .......... 90%  109M 0s
 92400K .......... .......... .......... .......... .......... 90% 50.0M 0s
 92450K .......... .......... .......... .......... .......... 90% 45.3M 0s
 92500K .......... .......... .......... .......... .......... 90% 44.6M 0s
 92550K .......... .......... .......... .......... .......... 90%  115M 0s
 92600K .......... .......... .......... .......... .......... 90% 43.6M 0s
 92650K .......... .......... .......... .......... .......... 90% 41.3M 0s
 92700K .......... .......... .......... .......... .......... 90% 49.1M 0s
 92750K .......... .......... .......... .......... .......... 90% 48.8M 0s
 92800K .......... .......... .......... .......... .......... 90%  112M 0s
 92850K .......... .......... .......... .......... .......... 90% 43.5M 0s
 92900K .......... .......... .......... .......... .......... 90% 51.8M 0s
 92950K .......... .......... .......... .......... .......... 90% 41.5M 0s
 93000K .......... .......... .......... .......... .......... 90% 80.2M 0s
 93050K .......... .......... .......... .......... .......... 90% 67.2M 0s
 93100K .......... .......... .......... .......... .......... 90% 57.5M 0s
 93150K .......... .......... .......... .......... .......... 91% 11.9M 0s
 93200K .......... .......... .......... .......... .......... 91% 51.4M 0s
 93250K .......... .......... .......... .......... .......... 91% 48.2M 0s
 93300K .......... .......... .......... .......... .......... 91% 73.4M 0s
 93350K .......... .......... .......... .......... .......... 91%  112M 0s
 93400K .......... .......... .......... .......... .......... 91% 90.0M 0s
 93450K .......... .......... .......... .......... .......... 91%  121M 0s
 93500K .......... .......... .......... .......... .......... 91%  101M 0s
 93550K .......... .......... .......... .......... .......... 91% 55.4M 0s
 93600K .......... .......... .......... .......... .......... 91% 59.1M 0s
 93650K .......... .......... .......... .......... .......... 91% 37.6M 0s
 93700K .......... .......... .......... .......... .......... 91% 1.17G 0s
 93750K .......... .......... .......... .......... .......... 91% 66.4M 0s
 93800K .......... .......... .......... .......... .......... 91% 58.4M 0s
 93850K .......... .......... .......... .......... .......... 91% 59.6M 0s
 93900K .......... .......... .......... .......... .......... 91% 45.4M 0s
 93950K .......... .......... .......... .......... .......... 91%  121M 0s
 94000K .......... .......... .......... .......... .......... 91% 47.7M 0s
 94050K .......... .......... .......... .......... .......... 91% 50.2M 0s
 94100K .......... .......... .......... .......... .......... 91% 46.7M 0s
 94150K .......... .......... .......... .......... .......... 91%  122M 0s
 94200K .......... .......... .......... .......... .......... 92% 40.6M 0s
 94250K .......... .......... .......... .......... .......... 92% 50.5M 0s
 94300K .......... .......... .......... .......... .......... 92% 47.3M 0s
 94350K .......... .......... .......... .......... .......... 92% 48.9M 0s
 94400K .......... .......... .......... .......... .......... 92%  118M 0s
 94450K .......... .......... .......... .......... .......... 92% 44.0M 0s
 94500K .......... .......... .......... .......... .......... 92% 49.3M 0s
 94550K .......... .......... .......... .......... .......... 92% 46.8M 0s
 94600K .......... .......... .......... .......... .......... 92% 8.49M 0s
 94650K .......... .......... .......... .......... .......... 92%  118M 0s
